genus	CON1	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON2	CON20	CON21	CON22	CON23	CON24	CON25	CON26	CON28	CON29	CON3	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON38	CON39	CON4	CON40	CON5	CON6	CON7	CON8	CON9	GA1	GA10	GA11	GA12	GA13	GA14	GA16	GA17	GA18	GA19	GA2	GA20	GA21	GA3	GA4	GA5	GA6	GA7	GA8	GA9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC16	NC17	NC18	NC19	NC2	NC21	NC22	NC3	NC4	NC5	NC6	NC7	NC8	NC9	qiu_HUA1	qiu_HUA10	qiu_HUA11	qiu_HUA12	qiu_HUA13	qiu_HUA14	qiu_HUA15	qiu_HUA16	qiu_HUA17	qiu_HUA18	qiu_HUA19	qiu_HUA2	qiu_HUA20	qiu_HUA21	qiu_HUA22	qiu_HUA23	qiu_HUA24	qiu_HUA25	qiu_HUA26	qiu_HUA27	qiu_HUA28	qiu_HUA29	qiu_HUA3	qiu_HUA30	qiu_HUA31	qiu_HUA32	qiu_HUA33	qiu_HUA34	qiu_HUA35	qiu_HUA36	qiu_HUA37	qiu_HUA38	qiu_HUA39	qiu_HUA4	qiu_HUA40	qiu_HUA41	qiu_HUA42	qiu_HUA43	qiu_HUA44	qiu_HUA45	qiu_HUA46	qiu_HUA47	qiu_HUA48	qiu_HUA49	qiu_HUA5	qiu_HUA50	qiu_HUA51	qiu_HUA52	qiu_HUA53	qiu_HUA54	qiu_HUA55	qiu_HUA56	qiu_HUA57	qiu_HUA58	qiu_HUA59	qiu_HUA6	qiu_HUA60	qiu_HUA61	qiu_HUA62	qiu_HUA63	qiu_HUA64	qiu_HUA65	qiu_HUA7	qiu_HUA8	qiu_HUA9	zhang_HUA1	zhang_HUA10	zhang_HUA11	zhang_HUA12	zhang_HUA13	zhang_HUA14	zhang_HUA15	zhang_HUA16	zhang_HUA17	zhang_HUA18	zhang_HUA19	zhang_HUA2	zhang_HUA20	zhang_HUA21	zhang_HUA3	zhang_HUA4	zhang_HUA5	zhang_HUA6	zhang_HUA7	zhang_HUA8	zhang_HUA9	SRR9592437	SRR9592438	SRR9592439	SRR9592440	SRR9592441	SRR9592442	SRR9592443	SRR9592444	SRR9592445	SRR9592446	SRR9592447	SRR9592448	SRR9592449	SRR9592450	SRR9592451	SRR9592452	SRR9592453	SRR9592454	SRR9592455	SRR9592456	SRR9592457	SRR9592458	SRR9592459	SRR9592460	SRR9592461	SRR9592462	SRR9592463	SRR9592464	SRR9592465	SRR9592466	SRR9592467	SRR9592468	SRR9592469	SRR9592470	SRR9592471	SRR9592472	SRR9592473	SRR9592474	SRR9592475	SRR9592476	SRR9592477	SRR9592478	SRR9592479	SRR9592481	SRR9592482	SRR9592607	SRR9592608	SRR9592609	SRR9592610	SRR9592611	SRR9592612	SRR9592613	SRR9592614	SRR9592615	SRR9592616	SRR9595012	SRR9595013	SRR9595014	SRR9595015	SRR9595016	SRR9595017	SRR9595018	SRR9595019	SRR15462451	SRR15462452	SRR15462453	SRR15462459	SRR15462470	SRR15462481	SRR15462490	SRR15462491	SRR15462492	SRR15462493	SRR15462494	SRR15462495	SRR15462496	SRR15462497	SRR15462498	SRR15462499	SRR15462500	SRR15462501	SRR15462502	SRR15462503	SRR15462504	SRR15462505	SRR15462506	SRR15462507	SRR15462508	SRR15462509	SRR15462510	SRR15462511	SRR15462512	SRR15462513	SRR15462514	SRR15462515	SRR21068189	SRR21068190	SRR21068191	SRR21068192	SRR21068193	SRR21068194	SRR21068196	SRR21068197	SRR21068198	SRR21068199	SRR21068200	SRR21068201	SRR21068202	SRR21068203	SRR21068204	SRR21068205	SRR21068207	SRR21068208	SRR21068209	SRR21068210	SRR21068211	SRR21068212	SRR21068213	SRR21068214	SRR21068215	SRR21068216	SRR21068218	SRR21068219	SRR21068220	SRR21068221	SRR21068222	SRR21068223	SRR21068224	SRR21068225	SRR21068226	SRR21068227	SRR21068228	SRR21068229	SRR21068230	SRR21068257	SRR21068258	SRR21068259	SRR21068260	SRR21068261	SRR21068262	SRR21068263	SRR21068264	SRR21068265	SRR21068266	SRR21068268	SRR21068269	SRR21068270	SRR21068271	SRR21068272	SRR21068273	SRR21068274	SRR21068275	SRR21068276	SRR21068277	SRR21068279	SRR21068280	SRR21068281	SRR21068282	SRR21068283	SRR21068284	SRR21068285	SRR21068286	SRR21068287	SRR21068288	SRR21068312	SRR21068313	SRR21068314	SRR21068315	SRR21068316	SRR21068317	SRR21068318	SRR21068319	SRR21068322	SRR21068323	SRR21068324	SRR21068325	SRR21068326	SRR21068327	SRR21068328	SRR21068329	SRR21068330	SRR21068331	SRR21068333	SRR21068334	SRR21068335	SRR21068336	SRR21068337	SRR21068338	SRR21068339	SRR21068340	SRR21068341	SRR21068342	SRR21068344	SRR21068345	SRR21068346	SRR21068347	SRR21068348	SRR21068349	SRR21068350	SRR21068351	SRR21068352	SRR21068353
g__[Clostridium]_innocuum_group	0	4	0	0	0	134	0	0	0	0	0	0	4	0	0	0	18	0	0	30	4	0	0	21	0	20	0	0	32	0	0	4	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	123	41	0	0	0	0	0	0	57	0	0	0	0	13	0	0	83	0	0	202	21	32	0	2	0	0	0	0	0	0	0	0	0	24	0	0	2	0	0	0	24	0	0	0	2	0	0	14	0	6	5	38	0	0	0	0	0	0	0	0	0	48	0	27	0	7	0	0	10	0	0	92	7	0	0	0	32	0	0	0	0	18	0	0	0	0	0	17	0	0	4	0	13	0	0	0	0	0	0	0	0	0	0	101	600	0	0	0	0	0	181	0	0	22	0	0	14	0	0	0	0	0	0	0	0	0	0	27	14	0	0	0	0	0	0	0	0	0	0	0	8	0	0	20	0	0	0	0	0	0	0	0	0	0	81	97	33	0	34	0	0	0	0	3	0	46	14	0	0	0	0	22	0	128	0	67	0	0	0	18	0	0	0	0	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	32	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	21	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	109	1	1	220	1	1	1	1	1	1	1	21	1	1	1	1	1	16	1	1	40	1	158	1	446	1	1	1	1	48	32	1	1	1	1	1	1	1	1	92	1	1	1	22	1	1	29	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g__[Eubacterium]_coprostanoligenes_group	403	1	3478	754	1	1	2478	5896	242	1	1144	1220	1	10	1	122	1	1	1	1	1	10328	8	1	192	1	1	37	1	1	1	1	174	83	191	867	19	37	1	1	1	1	188	1	1	25	31	191	189	1	1	188	1	37	24	1	188	1	147	1	188	188	1	123	0	0	246	0	0	0	11	2687	0	176	0	0	0	0	0	4	0	34	258	15	189	192	22	1334	188	189	188	188	0	0	29	413	0	6116	0	0	0	2982	51	0	502	446	1323	41	767	0	0	0	2542	14	208	1955	186	3	0	1658	0	122	4	1478	0	29	718	710	46	27	0	0	0	1710	1570	0	0	0	2293	0	139	6407	0	0	24	329	219	137	1658	0	1025	1123	0	0	0	0	329	0	84	0	0	269	9395	0	1144	12194	404	0	611	842	8	148	0	61	0	0	0	0	0	39	0	0	136	0	140	0	0	17	0	0	0	11	0	2	0	186	0	808	505	1064	564	0	0	0	0	19	0	0	0	0	0	188	192	0	37	0	5	147	0	16	235	0	0	256	0	0	7	109	3	8	0	212	3	19	573	87	0	0	967	416	0	2	0	1853	35	57	0	0	0	246	1151	22	321	20	1282	15	87	93	390	0	529	1118	8	678	1959	0	109	0	0	8	1535	16	269	1118	391	268	5896	1161	3478	0	81	1088	474	212	192	8	678	256	808	1157	0	109	29	269	61	253	754	573	0	944	0	0	0	17	2766	0	0	0	0	0	0	0	0	140	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	50	0	0	14	2	0	0	2	0	1345	0	0	0	0	0	0	4	6638	0	57	4002	363	32	27	416	2129	27	0	327	84	194	21	125	1065	0	0	108	6407
g__[Eubacterium]_eligens_group	0	0	28	357	433	0	0	0	0	3903	174	2407	0	1005	0	0	0	0	572	0	0	0	2007	0	0	463	0	0	560	427	0	0	2058	0	355	73	402	0	0	0	744	0	124	0	0	0	0	534	0	0	0	2	0	0	243	0	0	0	0	0	286	0	1101	0	0	3903	212	0	0	0	95	16	0	0	0	139	0	0	66	328	0	1101	0	0	392	0	0	548	0	617	0	970	0	0	0	3066	753	8718	2350	0	0	110	0	0	2219	82	4914	0	2066	0	0	2631	151	0	285	528	994	0	0	453	0	0	28	2139	0	1662	2353	4495	0	0	199	0	0	39	172	0	0	1810	3879	101	118	96	0	82	10	636	589	0	111	0	390	423	0	0	2830	0	34	223	0	0	0	0	211	0	0	5	248	0	166	2071	0	944	0	0	0	0	0	0	0	0	0	0	96	122	0	0	0	0	0	0	0	0	0	0	0	0	0	586	1005	2696	650	463	0	0	0	0	0	0	0	1101	0	0	93	0	0	0	0	0	0	0	65	217	0	0	0	0	371	187	0	60	0	813	299	0	70	1712	0	0	17	152	0	0	0	582	0	0	0	0	257	0	0	490	546	0	100	409	386	492	67	152	192	31	598	31	450	31	31	31	4248	31	31	31	2105	4239	348	938	31	31	31	31	3226	31	31	1540	31	31	1712	31	31	348	31	31	31	31	31	31	31	1473	31	31	31	2232	31	598	31	31	31	31	31	31	31	31	31	31	31	31	31	4239	38	455	346	38	38	586	38	2319	38	38	38	38	38	38	38	38	810	38	2269	38	38	38	38	38	38	38	38	38	638	38	38	38	38	455	1597	38	38	38	38	38	38	3461	38	38	38	38	38	38	304	38
g__[Eubacterium]_hallii_group	0	121	124	53	98	0	0	0	13	238	38	547	0	1	11	86	0	111	0	426	0	38	0	75	1	86	17	0	64	416	0	9	1	0	43	102	0	60	22	63	0	17	29	0	0	14	1	0	0	0	0	9	0	1	11	10	72	0	0	100	1	8	0	10	0	0	0	0	0	430	0	62	0	0	1	0	0	0	0	1	15	18	74	100	63	39	145	5	0	537	39	67	93	0	0	0	214	87	5	6	0	0	68	7	29	30	33	133	32	0	0	343	91	17	4	37	0	45	0	4	0	0	0	54	7	45	46	8	53	23	310	0	4	23	213	0	0	154	11	15	32	60	18	197	0	0	44	0	117	17	9	22	0	0	44	0	103	7	23	0	121	87	100	0	27	110	14	0	0	22	0	0	0	0	0	0	0	0	65	0	0	0	107	0	0	0	42	275	118	0	16	91	0	0	22	51	0	123	0	16	0	62	0	0	0	100	246	831	988	431	9	9	9	14	10	8	19	17	0	0	0	47	0	13	0	0	0	0	0	0	10	0	0	0	0	0	0	0	83	0	0	19	0	0	20	113	0	0	0	0	257	0	0	29	257	15	0	0	0	0	21	0	79	0	13	0	91	112	4	0	0	15	19	0	100	45	275	40	52	97	0	0	90	424	13	0	0	49	0	0	107	0	27	0	0	34	0	0	0	4	0	0	65	38	42	0	0	122	120	0	10	238	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	1	103	45	19	4	18	17	0	33	0	0	310	30	0	68	21	0	0	0	0	54	34	44	11	0	0	53	0	8	6	112	0	7	247	0	0	0	154	343	214	0
g__[Eubacterium]_nodatum_group	0	0	0	0	0	7	0	0	9	0	0	0	0	13	8	0	0	0	0	13	0	5	0	12	0	15	0	0	2	3	7	28	0	0	7	13	7	26	0	0	32	0	0	0	14	7	0	0	0	9	12	0	8	0	0	0	0	4	0	0	0	0	0	0	12	0	0	6	0	0	0	15	0	0	7	0	0	0	0	0	0	0	0	0	0	7	0	0	5	7	0	0	0	0	0	0	16	0	12	0	0	0	21	0	0	0	9	8	0	0	0	0	7	0	0	12	4	37	19	0	0	0	8	0	0	12	0	0	0	6	2	0	6	0	0	0	9	0	12	0	0	113	5	0	0	0	4	0	0	9	0	2	0	0	0	0	0	7	0	0	0	0	7	6	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__[Eubacterium]_ruminantium_group	0	0	112	0	0	0	0	0	0	2524	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	25	0	0	0	0	1	0	516	0	0	70	0	0	0	0	25	0	0	0	0	0	21	0	0	84	0	0	0	0	0	0	114	0	25	25	0	225	0	0	1991	0	0	0	0	0	0	0	578	0	0	0	0	0	0	0	0	0	0	0	0	25	0	99	0	24	0	0	0	0	0	0	0	0	0	90	0	0	337	2	0	0	1334	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	5744	0	0	0	0	0	0	0	236	0	0	0	14	520	0	0	0	2	0	965	0	30	0	0	218	178	0	0	0	0	259	0	0	0	0	0	637	0	46	0	527	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	267	0	0	0	0	0	0	25	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1893	0	0	0	0	0	0	445	508	0	0	0	211	0	0	0	0	0	0	642	183	540	0	30	164	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	559	1	0	20	0	0	0	46	0	0	121	0	0	474	0	0	256	0	659	2	0	1991	0	0	0	0	297	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	236	0	0	0	0	0	0	0	0	0	1334	0	0	0	27	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	3579	0	5	0	0	0	0	0	357	0	0	614	186	0	0	0	0	0
g__[Eubacterium]_siraeum_group	0	0	1396	0	0	0	0	0	0	0	1842	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1970	0	0	0	0	0	0	0	24	0	0	0	0	593	1817	0	0	0	0	0	0	0	295	0	1241	0	0	0	0	0	0	0	10	0	0	0	391	0	0	0	0	0	0	0	0	0	0	13086	0	0	367	0	0	0	0	4	0	295	0	0	0	0	0	0	0	0	0	0	0	0	296	0	130	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	707	0	0	0	0	0	0	0	0	0	0	0	2087	0	118	56	0	0	0	777	0	0	0	0	7	20	0	0	0	0	3	0	0	0	0	0	0	0	525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	493	0	0	0	0	215	0	0	0	0	0	0	0	3	0	0	0	255	0	4	0	0	259	0	0	0	0	0	93	0	131	0	0	22	0	342	0	0	0	14	0	0	14	24	32	11	0	0	0	0	4	29	5	0	3	46	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	0	0	0	0	0	0	0	18	41	0	0	0	0	0	0	0	0	5	0	0	0	0	24	0	0	0	0	0	33	0	0	0	0	0	41	0	38	0	0	179	0	0	0	0	30	11
g__[Eubacterium]_ventriosum_group	736	0	69	217	0	0	0	32	22	508	24	0	17	61	0	0	308	238	93	2332	0	80	0	0	38	45	0	0	0	0	0	0	0	0	0	0	35	16	0	0	0	0	0	4630	0	0	39	0	0	0	0	0	0	0	0	0	13	0	0	0	12	0	0	0	0	0	0	103	44	0	0	560	0	0	0	0	0	194	0	0	0	0	5529	8	25	0	0	0	0	45	0	38	0	0	0	44	1888	920	9	0	0	81	0	48	287	62	362	999	765	0	138	2101	0	0	200	160	53	122	0	249	0	19	484	764	0	1136	978	532	51	25	2801	0	602	97	233	34	0	30	105	359	0	1970	47	53	118	638	2473	2289	82	64	141	109	0	0	839	20	102	269	890	0	7	68	0	0	3634	405	155	10	197	137	0	0	0	0	0	0	0	0	0	0	0	13	71	0	302	0	0	60	20	0	0	0	0	0	0	0	0	239	24	39	0	0	5	0	0	0	45	0	38	0	0	0	0	12	0	0	0	0	19	0	0	0	0	22	0	0	0	49	0	233	12	231	0	0	0	0	0	0	73	61	0	0	0	338	11	27	0	0	0	70	0	46	33	0	64	32	0	0	26	0	41	0	314	314	488	314	488	11	0	0	0	2067	0	580	0	858	62	24	17	0	0	0	135	0	17	0	213	0	1794	31	0	2352	22	0	0	70	3	0	3	50	0	0	684	529	0	0	0	78	36	0	0	213	78	0	22	107	22	70	64	19	0	0	440	360	0	0	2801	215	19	0	57	0	0	0	57	103	63	273	273	1450	76	604	0	0	249	139	38	122	0	0	0	0	0	38	0	0	0	0	9	154	0	0	0	0	0	0	67	282
g__[Eubacterium]_xylanophilum_group	0	0	0	0	0	0	0	0	0	4706	791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1354	0	614	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	0	0	0	0	0	0	0	62	0	0	0	205	0	0	0	0	0	1583	0	0	957	388	0	0	0	2593	0	21	0	0	0	89	0	0	0	0	0	0	0	0	456	0	5088	0	384	0	0	0	51	0	0	0	0	0	0	0	0	0	0	2116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1171	685	0	0	0	0	0	2155	0	0	0	0	0	7	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	88	0	0	0	0	35	0	0	0	0	0	11	0	0	0	0	0	0	17	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	23	17	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__[Ruminococcus]_gauvreauii_group	0	0	44	214	214	0	0	0	23	0	76	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	15	0	0	0	0	0	77	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	15	0	246	0	0	0	0	0	24	0	0	0	43	0	0	0	0	18	0	6	0	0	0	0	0	0	0	0	0	0	77	0	308	0	82	31	0	0	0	0	0	79	0	0	68	0	0	12	0	0	86	8	20	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	61	38	0	0	25	0	0	25	0	0	77	24	28	0	0	0	46	17	0	0	0	0	11	0	0	34	128	0	0	11	0	0	0	0	89	74	0	786	0	0	21	0	10	30	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	256	0	0	0	0	0	0	77	72	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	58	0	0	0	54	0	0	0	0	0	0	0	10	0	0	0	25	21	22	0	0	550	0	1	14	0	76	0	30	0	0	0	0	38	0	0	1	98	0	0	0	163	0	0	63	66	0	0	21	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	42	0	33	0	0	25	0	0	0	0	88	0	12	0	0	0	0	68	1	0	1
