sample_id	Group	Study
SRR9592464	HC	PRJNA550142
SRR9592458	HC	PRJNA550142
SRR9592457	HC	PRJNA550142
SRR9592482	HC	PRJNA550142
SRR9592481	HC	PRJNA550142
SRR9592480	HC	PRJNA550142
SRR9592479	HC	PRJNA550142
SRR9592478	HC	PRJNA550142
SRR9592477	HC	PRJNA550142
SRR9592476	HC	PRJNA550142
SRR9592475	HC	PRJNA550142
SRR9592463	HC	PRJNA550142
SRR9592474	HC	PRJNA550142
SRR9592473	HC	PRJNA550142
SRR9592452	HC	PRJNA550142
SRR9592453	HC	PRJNA550142
SRR9592450	HC	PRJNA550142
SRR9592451	HC	PRJNA550142
SRR9592448	HC	PRJNA550142
SRR9592449	HC	PRJNA550142
SRR9592466	HC	PRJNA550142
SRR9592465	HC	PRJNA550142
SRR9592460	HC	PRJNA550142
SRR9592459	HC	PRJNA550142
SRR9592462	HC	PRJNA550142
SRR9592461	HC	PRJNA550142
SRR9592446	Gout	PRJNA550142
SRR9592467	Gout	PRJNA550142
SRR9592470	Gout	PRJNA550142
SRR9592469	Gout	PRJNA550142
SRR9592438	Gout	PRJNA550142
SRR9592437	Gout	PRJNA550142
SRR9592442	Gout	PRJNA550142
SRR9592443	Gout	PRJNA550142
SRR9592444	Gout	PRJNA550142
SRR9592445	Gout	PRJNA550142
SRR9592440	Gout	PRJNA550142
SRR9592447	Gout	PRJNA550142
SRR9592441	Gout	PRJNA550142
SRR9592615	Gout	PRJNA550142
SRR9592616	Gout	PRJNA550142
SRR9592613	Gout	PRJNA550142
SRR9592614	Gout	PRJNA550142
SRR9592611	Gout	PRJNA550142
SRR9592612	Gout	PRJNA550142
SRR9592609	Gout	PRJNA550142
SRR9592610	Gout	PRJNA550142
SRR9592607	Gout	PRJNA550142
SRR9592454	Gout	PRJNA550142
SRR9592608	Gout	PRJNA550142
SRR9595018	Gout	PRJNA550142
SRR9595019	Gout	PRJNA550142
SRR9595016	Gout	PRJNA550142
SRR9595017	Gout	PRJNA550142
SRR9595014	Gout	PRJNA550142
SRR9595015	Gout	PRJNA550142
SRR9595012	Gout	PRJNA550142
SRR9595013	Gout	PRJNA550142
SRR9592455	Gout	PRJNA550142
SRR9592472	Gout	PRJNA550142
SRR9592471	Gout	PRJNA550142
SRR9592456	Gout	PRJNA550142
SRR9592439	Gout	PRJNA550142
SRR9592468	Gout	PRJNA550142
SRR15462451	HC	PRJNA754261
